meshsize timestep MaxL2error L2W11error Time
0.250000 0.250000 0.137309 0.302007 0.443624 0.170659
0.125000 0.125000 0.081751 0.130553 0.152950 0.591926
0.062500 0.062500 0.046646 0.074040 0.086848 4.118602
